Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result,Playoff Outcome
1991-1992,Utah Jazz,West,0.671,3,4,0.7,4,7,First Round,Conference Semi-Final,Conference Final
1991-1992,Phoenix Suns,West,0.646,4,6,0.7,5,8,Conference Final,First Round,Conference Semi-Final
1991-1992,San Antonio Spurs,West,0.573,5,10,0.45,15,1,Conference Semi-Final,First Round,First Round
1991-1992,Seattle SuperSonics,West,0.573,6,11,0.65,8,16,No Playoff,First Round,Conference Semi-Final
1991-1992,Los Angeles Clippers,West,0.549,7,12,0.65,21,4,No Playoff,No Playoff,First Round
1991-1992,Los Angeles Lakers,West,0.524,8,13,0.5,13,17,Conference Semi-Final,NBA Final,First Round
1990-1991,Chicago Bulls,Est,0.744,1,2,0.7,1,6,Conference Final,Conference Final,NBA Champion
1990-1991,Boston Celtics,Est,0.683,2,4,0.5,4,10,First Round,First Round,Conference Semi-Final
1990-1991,Detroit Pistons,Est,0.61,3,9,0.55,12,4,NBA Champion,NBA Champion,Conference Final
1990-1991,Milwaukee Bucks,Est,0.585,4,10,0.55,10,12,Conference Semi-Final,First Round,First Round
1990-1991,Philadelphia Sixers,Est,0.537,5,12,0.5,13,16,First Round,Conference Semi-Final,Conference Semi-Final
1990-1991,Atlanta Hawks,Est,0.524,6,13,0.4,8,20,First Round,No Playoff,First Round
1990-1991,Indiana Pacers,Est,0.5,7,15,0.6,6,26,No Playoff,First Round,First Round
1990-1991,New York Knicks,Est,0.476,8,16,0.45,16,13,Conference Semi-Final,Conference Semi-Final,First Round
1990-1991,Portland Blazers,West,0.768,1,1,0.85,2,3,First Round,NBA Final,Conference Final
1990-1991,San Antonio Spurs,West,0.671,2,6,0.7,14,1,No Playoff,Conference Semi-Final,First Round
1990-1991,Los Angeles Lakers,West,0.707,3,3,0.7,5,5,NBA Final,Conference Semi-Final,NBA Final
1990-1991,Phoenix Suns,West,0.671,4,5,0.6,3,8,Conference Final,Conference Final,First Round
1990-1991,Utah Jazz,West,0.659,5,7,0.65,11,7,First Round,First Round,Conference Semi-Final
1990-1991,Houston Rockets,West,0.634,6,8,0.7,15,2,First Round,First Round,First Round
1990-1991,Golden State Warriors,West,0.537,7,11,0.55,7,22,Conference Semi-Final,No Playoff,Conference Semi-Final
1990-1991,Seattle SuperSonics,West,0.5,8,14,0.55,9,18,Conference Semi-Final,No Playoff,First Round
1989-1990,Detroit Pistons,Est,0.72,1,3,0.6,11,2,NBA Final,NBA Champion,NBA Champion
1989-1990,Philadelphia Sixers,Est,0.646,2,8,0.75,2,15,No Playoff,First Round,Conference Semi-Final
1989-1990,Chicago Bulls,Est,0.671,3,6,0.75,5,18,Conference Semi-Final,Conference Final,Conference Final
1989-1990,Boston Celtics,Est,0.634,4,9,0.8,7,12,Conference Final,First Round,First Round
1989-1990,New York Knicks,Est,0.549,5,11,0.3,12,13,First Round,Conference Semi-Final,Conference Semi-Final
1989-1990,Milwaukee Bucks,Est,0.537,6,12,0.55,18,14,First Round,Conference Semi-Final,First Round
1989-1990,Cleveland Cavaliers,Est,0.512,7,15,0.7,19,8,First Round,First Round,First Round
1989-1990,Indiana Pacers,Est,0.512,8,14,0.55,6,24,No Playoff,No Playoff,First Round
1989-1990,Los Angeles Lakers,West,0.768,1,1,0.8,1,10,NBA Champion,NBA Final,Conference Semi-Final
1989-1990,San Antonio Spurs,West,0.683,2,2,0.75,15,3,First Round,No Playoff,Conference Semi-Final
1989-1990,Portland Blazers,West,0.72,3,4,0.75,9,4,First Round,First Round,NBA Final
1989-1990,Utah Jazz,West,0.671,4,5,0.5,10,5,Conference Semi-Final,First Round,First Round
1989-1990,Phoenix Suns,West,0.659,5,7,0.55,4,6,No Playoff,Conference Final,Conference Final
1989-1990,Dallas Mavericks,West,0.573,6,10,0.65,17,9,Conference Final,No Playoff,First Round
1989-1990,Denver Nuggets,West,0.524,7,13,0.45,14,7,Conference Semi-Final,First Round,First Round
1989-1990,Houston Rockets,West,0.5,8,16,0.55,22,1,First Round,First Round,First Round
1988-1989,Detroit Pistons,Est,0.768,1,1,0.9,8,3,Conference Final,NBA Final,NBA Champion
1988-1989,New York Knicks,Est,0.634,2,6,0.5,6,11,No Playoff,First Round,Conference Semi-Final
1988-1989,Cleveland Cavaliers,Est,0.695,3,2,0.6,9,2,No Playoff,First Round,First Round
1988-1989,Atlanta Hawks,Est,0.634,4,5,0.75,4,9,Conference Semi-Final,Conference Semi-Final,First Round
1988-1989,Milwaukee Bucks,Est,0.598,5,8,0.4,10,6,Conference Semi-Final,First Round,Conference Semi-Final
1988-1989,Chicago Bulls,Est,0.573,6,10,0.5,12,12,First Round,Conference Semi-Final,Conference Final
1988-1989,Philadelphia Sixers,Est,0.561,7,11,0.6,3,24,First Round,No Playoff,First Round
1988-1989,Boston Celtics,Est,0.512,8,15,0.5,7,20,NBA Final,Conference Final,First Round
1988-1989,Los Angeles Lakers,West,0.695,1,3,0.65,1,7,NBA Champion,NBA Champion,NBA Final
1988-1989,Utah Jazz,West,0.622,2,7,0.6,17,1,First Round,Conference Semi-Final,First Round
1988-1989,Phoenix Suns,West,0.671,3,4,0.8,2,5,No Playoff,No Playoff,Conference Final
1988-1989,Seattle SuperSonics,West,0.573,4,9,0.55,5,16,Conference Final,First Round,Conference Semi-Final
1988-1989,Houston Rockets,West,0.549,5,12,0.55,19,4,Conference Semi-Final,First Round,First Round
1988-1989,Denver Nuggets,West,0.537,6,13,0.6,13,8,First Round,Conference Semi-Final,First Round
1988-1989,Golden State Warriors,West,0.524,7,14,0.4,15,10,Conference Semi-Final,No Playoff,Conference Semi-Final
1988-1989,Portland Blazers,West,0.476,8,17,0.4,11,13,First Round,First Round,First Round
1987-1988,Boston Celtics,Est,0.695,1,2,0.7,1,17,NBA Champion,NBA Final,Conference Final
1987-1988,Detroit Pistons,Est,0.659,2,3,0.6,6,2,First Round,Conference Final,NBA Final
1987-1988,Atlanta Hawks,Est,0.61,3,7,0.55,5,14,Conference Semi-Final,Conference Semi-Final,Conference Semi-Final
1987-1988,Chicago Bulls,Est,0.61,4,8,0.7,9,3,First Round,First Round,Conference Semi-Final
1987-1988,Milwaukee Bucks,Est,0.512,5,13,0.35,12,13,Conference Final,Conference Semi-Final,First Round
1987-1988,Cleveland Cavaliers,Est,0.512,6,12,0.6,15,5,No Playoff,No Playoff,First Round
1987-1988,Washington Bullets,Est,0.463,7,15,0.5,19,9,First Round,First Round,First Round
1987-1988,New York Knicks,Est,0.463,8,14,0.55,20,7,No Playoff,No Playoff,First Round
1987-1988,Los Angeles Lakers,West,0.756,1,1,0.6,2,8,Conference Final,NBA Champion,NBA Champion
1987-1988,Denver Nuggets,West,0.659,2,4,0.65,8,6,Conference Semi-Final,First Round,Conference Semi-Final
1987-1988,Dallas Mavericks,West,0.646,3,5,0.55,3,15,Conference Semi-Final,First Round,Conference Final
1987-1988,Portland Blazers,West,0.646,4,6,0.65,4,10,First Round,First Round,First Round
1987-1988,Utah Jazz,West,0.573,5,9,0.65,16,1,First Round,First Round,Conference Semi-Final
1987-1988,Houston Rockets,West,0.561,6,10,0.4,13,4,NBA Final,Conference Semi-Final,First Round
1987-1988,Seattle SuperSonics,West,0.537,7,11,0.55,7,16,No Playoff,Conference Final,First Round
1987-1988,San Antonio Spurs,West,0.378,8,18,0.4,11,22,First Round,No Playoff,First Round
1986-1987,Boston Celtics,Est,0.72,1,2,0.65,3,8,NBA Final,NBA Champion,NBA Final
1986-1987,Atlanta Hawks,Est,0.695,2,3,0.8,4,2,No Playoff,Conference Semi-Final,Conference Semi-Final
1986-1987,Detroit Pistons,Est,0.634,3,5,0.5,9,5,Conference Semi-Final,First Round,Conference Final
1986-1987,Milwaukee Bucks,Est,0.61,4,6,0.6,7,4,Conference Semi-Final,Conference Final,Conference Semi-Final
1986-1987,Philadelphia Sixers,Est,0.549,5,8,0.55,13,13,Conference Final,Conference Semi-Final,First Round
1986-1987,Washington Bullets,Est,0.512,6,11,0.45,18,10,First Round,First Round,First Round
1986-1987,Indiana Pacers,Est,0.5,7,13,0.6,16,9,No Playoff,No Playoff,First Round
1986-1987,Chicago Bulls,Est,0.488,8,14,0.4,12,11,First Round,First Round,First Round
1986-1987,Los Angeles Lakers,West,0.793,1,1,0.85,1,7,NBA Champion,Conference Final,NBA Champion
1986-1987,Dallas Mavericks,West,0.671,2,4,0.75,2,14,First Round,Conference Semi-Final,First Round
1986-1987,Portland Blazers,West,0.598,3,7,0.55,5,12,Conference Semi-Final,First Round,First Round
1986-1987,Utah Jazz,West,0.537,4,9,0.55,21,1,Conference Semi-Final,First Round,First Round
1986-1987,Houston Rockets,West,0.512,5,10,0.5,15,3,First Round,NBA Final,Conference Semi-Final
1986-1987,Golden State Warriors,West,0.512,6,12,0.6,10,21,No Playoff,No Playoff,Conference Semi-Final
1986-1987,Seattle SuperSonics,West,0.476,7,15,0.35,6,16,No Playoff,No Playoff,Conference Final
1986-1987,Denver Nuggets,West,0.451,8,16,0.6,8,15,Conference Final,Conference Semi-Final,First Round
1985-1986,Boston Celtics,Est,0.817,1,1,0.85,3,2,NBA Champion,NBA Final,NBA Champion
1985-1986,Milwaukee Bucks,Est,0.695,2,3,0.7,4,1,Conference Final,Conference Semi-Final,Conference Final
1985-1986,Philadelphia Sixers,Est,0.659,3,4,0.75,9,11,First Round,Conference Final,Conference Semi-Final
1985-1986,Atlanta Hawks,Est,0.61,4,6,0.65,11,6,First Round,No Playoff,Conference Semi-Final
1985-1986,Detroit Pistons,Est,0.561,5,8,0.5,6,15,First Round,Conference Semi-Final,First Round
1985-1986,New Jersey Nets,Est,0.476,6,12,0.35,18,12,Conference Semi-Final,First Round,First Round
1985-1986,Washington Bullets,Est,0.476,7,13,0.5,21,4,First Round,First Round,First Round
1985-1986,Chicago Bulls,Est,0.366,8,19,0.45,8,23,No Playoff,First Round,First Round
1985-1986,Los Angeles Lakers,West,0.756,1,2,0.8,1,8,NBA Final,NBA Champion,Conference Final
1985-1986,Houston Rockets,West,0.622,2,5,0.65,5,14,No Playoff,First Round,NBA Final
1985-1986,Denver Nuggets,West,0.573,3,7,0.5,12,10,First Round,Conference Final,Conference Semi-Final
1985-1986,Dallas Mavericks,West,0.537,4,9,0.6,2,20,Conference Semi-Final,First Round,Conference Semi-Final
1985-1986,Utah Jazz,West,0.512,5,10,0.55,20,3,Conference Semi-Final,Conference Semi-Final,First Round
1985-1986,Portland Blazers,West,0.488,6,11,0.55,7,16,First Round,Conference Semi-Final,First Round
1985-1986,Sacramento Kings,West,0.451,7,14,0.45,14,19,First Round,No Playoff,First Round
1985-1986,San Antonio Spurs,West,0.427,8,15,0.25,13,18,No Playoff,First Round,First Round
1984-1985,Boston Celtics,Est,0.768,1,1,0.7,2,5,Conference Semi-Final,NBA Champion,NBA Final
1984-1985,Milwaukee Bucks,Est,0.72,2,3,0.8,6,2,Conference Final,Conference Final,Conference Semi-Final
1984-1985,Philadelphia Sixers,Est,0.707,3,4,0.55,3,11,NBA Champion,First Round,Conference Final
1984-1985,Detroit Pistons,Est,0.561,4,7,0.6,10,9,No Playoff,First Round,Conference Semi-Final
1984-1985,New Jersey Nets,Est,0.512,5,10,0.5,12,12,First Round,Conference Semi-Final,First Round
1984-1985,Washington Bullets,Est,0.488,6,13,0.45,20,3,No Playoff,First Round,First Round
1984-1985,Chicago Bulls,Est,0.463,7,14,0.4,11,19,No Playoff,No Playoff,First Round
1984-1985,Cleveland Cavaliers,Est,0.439,8,15,0.55,16,16,No Playoff,No Playoff,First Round
1984-1985,Los Angeles Lakers,West,0.756,1,2,0.9,1,8,NBA Final,NBA Final,NBA Champion
1984-1985,Denver Nuggets,West,0.634,2,5,0.55,5,15,Conference Semi-Final,First Round,Conference Final
1984-1985,Houston Rockets,West,0.585,3,6,0.6,13,4,No Playoff,No Playoff,First Round
1984-1985,Dallas Mavericks,West,0.537,4,8,0.5,4,18,No Playoff,Conference Semi-Final,First Round
1984-1985,Portland Blazers,West,0.512,5,9,0.65,7,7,Conference Semi-Final,First Round,Conference Semi-Final
1984-1985,San Antonio Spurs,West,0.5,6,11,0.5,8,17,Conference Final,No Playoff,First Round
1984-1985,Utah Jazz,West,0.5,7,12,0.6,21,1,No Playoff,Conference Semi-Final,Conference Semi-Final
1984-1985,Phoenix Suns,West,0.439,8,16,0.35,19,6,First Round,Conference Final,First Round
1983-1984,Boston Celtics,Est,0.756,1,1,0.75,5,3,Conference Final,Conference Semi-Final,NBA Champion
1983-1984,Milwaukee Bucks,Est,0.61,2,4,0.6,12,2,Conference Semi-Final,Conference Final,Conference Final
1983-1984,Philadelphia Sixers,Est,0.634,3,3,0.7,14,4,NBA Final,NBA Champion,First Round
1983-1984,Detroit Pistons,Est,0.598,4,5,0.65,1,13,No Playoff,No Playoff,First Round
1983-1984,New York Knicks,Est,0.573,5,7,0.5,13,1,No Playoff,Conference Semi-Final,Conference Semi-Final
1983-1984,New Jersey Nets,Est,0.549,6,8,0.6,16,5,First Round,First Round,Conference Semi-Final
1983-1984,Atlanta Hawks,Est,0.488,7,13,0.45,17,7,First Round,First Round,First Round
1983-1984,Washington Bullets,Est,0.427,8,18,0.4,21,9,Conference Semi-Final,No Playoff,First Round
1983-1984,Los Angeles Lakers,West,0.659,1,2,0.65,6,8,NBA Champion,NBA Final,NBA Final
1983-1984,Utah Jazz,West,0.549,2,9,0.5,10,12,No Playoff,No Playoff,Conference Semi-Final
1983-1984,Portland Blazers,West,0.585,3,6,0.5,3,11,No Playoff,Conference Semi-Final,First Round
1983-1984,Dallas Mavericks,West,0.524,4,10,0.5,7,20,No Playoff,No Playoff,Conference Semi-Final
1983-1984,Seattle SuperSonics,West,0.512,5,11,0.5,11,16,Conference Semi-Final,First Round,First Round
1983-1984,Phoenix Suns,West,0.5,6,12,0.6,9,15,Conference Semi-Final,First Round,Conference Final
1983-1984,Denver Nuggets,West,0.463,7,14,0.55,4,22,First Round,Conference Semi-Final,First Round
1983-1984,Kansas City Kings,West,0.463,8,15,0.45,15,14,No Playoff,No Playoff,First Round
